Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 88 vertices, 132 indices, and 1 collision shape
Chunk generated with 88 vertices, 132 indices, and 1 collision shape
Chunk generated with 96 vertices, 144 indices, and 1 collision shape
Chunk generated with 84 vertices, 126 indices, and 1 collision shape
Chunk generated with 136 vertices, 204 indices, and 1 collision shape
Chunk generated with 156 vertices, 234 indices, and 1 collision shape
Chunk generated with 40 vertices, 60 indices, and 1 collision shape
Chunk generated with 92 vertices, 138 indices, and 1 collision shape
Chunk generated with 140 vertices, 210 indices, and 1 collision shape
Chunk generated with 20 vertices, 30 indices, and 1 collision shape
Chunk generated with 76 vertices, 114 indices, and 1 collision shape
Chunk generated with 116 vertices, 174 indices, and 1 collision shape
Chunk generated with 124 vertices, 186 indices, and 1 collision shape
Chunk generated with 128 vertices, 192 indices, and 1 collision shape
Chunk generated with 60 vertices, 90 indices, and 1 collision shape
Chunk generated with 100 vertices, 150 indices, and 1 collision shape
Chunk generated with 68 vertices, 102 indices, and 1 collision shape
Chunk generated with 52 vertices, 78 indices, and 1 collision shape
Chunk generated with 52 vertices, 78 indices, and 1 collision shape
Chunk generated with 76 vertices, 114 indices, and 1 collision shape
Chunk generated with 116 vertices, 174 indices, and 1 collision shape
Chunk generated with 120 vertices, 180 indices, and 1 collision shape
Chunk generated with 148 vertices, 222 indices, and 1 collision shape
Chunk generated with 116 vertices, 174 indices, and 1 collision shape
Chunk generated with 116 vertices, 174 indices, and 1 collision shape
Chunk generated with 20 vertices, 30 indices, and 1 collision shape
Chunk generated with 148 vertices, 222 indices, and 1 collision shape
Chunk generated with 144 vertices, 216 indices, and 1 collision shape
Chunk generated with 112 vertices, 168 indices, and 1 collision shape
Chunk generated with 144 vertices, 216 indices, and 1 collision shape
Chunk generated with 80 vertices, 120 indices, and 1 collision shape
Chunk generated with 144 vertices, 216 indices, and 1 collision shape
Chunk generated with 132 vertices, 198 indices, and 1 collision shape
Chunk generated with 76 vertices, 114 indices, and 1 collision shape
Chunk generated with 152 vertices, 228 indices, and 1 collision shape
Chunk generated with 136 vertices, 204 indices, and 1 collision shape
Chunk generated with 80 vertices, 120 indices, and 1 collision shape
Chunk generated with 168 vertices, 252 indices, and 1 collision shape
Chunk generated with 148 vertices, 222 indices, and 1 collision shape
Chunk generated with 100 vertices, 150 indices, and 1 collision shape
Chunk generated with 104 vertices, 156 indices, and 1 collision shape
